No	TMNo	EnNo	Name	INOUT	Mode	DateTime
2	1	1		0	1	2020/05/27 07:55:00	
3	1	2		0	1	2020/05/27 07:55:00	
4	1	3		0	1	2020/05/27 07:53:00	
5	1	4		0	1	2020/05/27 07:53:00	
6	1	5		0	1	2020/05/27 07:59:00	
7	1	6		0	1	2020/05/27 07:53:00	
8	1	7		0	1	2020/05/27 07:52:00	
9	1	8		0	1	2020/05/27 07:51:00	
10	1	9		0	1	2020/05/27 07:55:00	
11	1	10		0	1	2020/05/27 07:48:00	
12	1	1		0	1	2020/05/27 12:01:00	
13	1	2		0	1	2020/05/27 12:08:00	
14	1	3		0	1	2020/05/27 12:03:00	
15	1	4		0	1	2020/05/27 12:06:00	
16	1	5		0	1	2020/05/27 12:08:00	
17	1	6		0	1	2020/05/27 12:02:00	
18	1	7		0	1	2020/05/27 12:01:00	
19	1	8		0	1	2020/05/27 12:03:00	
20	1	9		0	1	2020/05/27 12:07:00	
21	1	10		0	1	2020/05/27 12:09:00	
22	1	1		0	1	2020/05/27 12:59:00	
23	1	2		0	1	2020/05/27 12:55:00	
24	1	3		0	1	2020/05/27 12:56:00	
25	1	4		0	1	2020/05/27 12:55:00	
26	1	5		0	1	2020/05/27 12:58:00	
27	1	6		0	1	2020/05/27 12:55:00	
28	1	7		0	1	2020/05/27 12:56:00	
29	1	8		0	1	2020/05/27 12:57:00	
30	1	9		0	1	2020/05/27 12:57:00	
31	1	10		0	1	2020/05/27 12:57:00	
32	1	1		0	1	2020/05/27 17:04:00	
33	1	2		0	1	2020/05/27 17:01:00	
34	1	3		0	1	2020/05/27 17:03:00	
35	1	4		0	1	2020/05/27 17:02:00	
36	1	5		0	1	2020/05/27 17:05:00	
37	1	6		0	1	2020/05/27 17:04:00	
38	1	7		0	1	2020/05/27 17:08:00	
39	1	8		0	1	2020/05/27 17:05:00	
40	1	9		0	1	2020/05/27 17:01:00	
41	1	10		0	1	2020/05/27 17:06:00
