No	TMNo	EnNo	Name	INOUT	Mode	DateTime
2	1	1		0	1	2020/05/25 07:49:00	
3	1	2		0	1	2020/05/25 07:58:00	
4	1	3		0	1	2020/05/25 07:49:00	
5	1	4		0	1	2020/05/25 07:56:00	
6	1	5		0	1	2020/05/25 07:50:00	
7	1	6		0	1	2020/05/25 07:48:00	
8	1	7		0	1	2020/05/25 07:57:00	
9	1	8		0	1	2020/05/25 07:56:00	
10	1	9		0	1	2020/05/25 07:49:00	
11	1	10		0	1	2020/05/25 07:49:00	
12	1	1		0	1	2020/05/25 12:07:00	
13	1	2		0	1	2020/05/25 12:06:00	
14	1	3		0	1	2020/05/25 12:06:00	
15	1	4		0	1	2020/05/25 12:04:00	
16	1	5		0	1	2020/05/25 12:05:00	
17	1	6		0	1	2020/05/25 12:04:00	
18	1	7		0	1	2020/05/25 12:01:00	
19	1	8		0	1	2020/05/25 12:07:00	
20	1	9		0	1	2020/05/25 12:01:00	
21	1	10		0	1	2020/05/25 12:07:00	
22	1	1		0	1	2020/05/25 12:59:00	
23	1	2		0	1	2020/05/25 12:57:00	
24	1	3		0	1	2020/05/25 12:58:00	
25	1	4		0	1	2020/05/25 12:58:00	
26	1	5		0	1	2020/05/25 12:57:00	
27	1	6		0	1	2020/05/25 12:57:00	
28	1	7		0	1	2020/05/25 12:58:00	
29	1	8		0	1	2020/05/25 12:59:00	
30	1	9		0	1	2020/05/25 12:58:00	
31	1	10		0	1	2020/05/25 12:59:00	
32	1	1		0	1	2020/05/25 17:03:00	
33	1	2		0	1	2020/05/25 17:04:00	
34	1	3		0	1	2020/05/25 17:06:00	
35	1	4		0	1	2020/05/25 17:09:00	
36	1	5		0	1	2020/05/25 17:05:00	
37	1	6		0	1	2020/05/25 17:07:00	
38	1	7		0	1	2020/05/25 17:08:00	
39	1	8		0	1	2020/05/25 17:07:00	
40	1	9		0	1	2020/05/25 17:07:00	
41	1	10		0	1	2020/05/25 17:02:00
